[2024-02-22 00:50:58] CUDA Available: True
[2024-02-22 00:50:58] CUDA Version: 11.3
[2024-02-22 00:50:58] PyTorch Version: 1.10.2+cu113
[2024-02-22 00:50:58] CUDA Device Name: NVIDIA GeForce RTX 4080
[2024-02-22 00:50:58] Using device: cuda
[2024-02-22 00:50:58] Initializing dataset...
[2024-02-22 00:51:01] Dataset initialized.
[2024-02-22 00:51:01] No checkpoint found at 'embeddings/checkpoints/hl_500batch_newadvancedinductive_target.pth.tar', starting from scratch.
[2024-02-22 00:54:23] Epoch 0, total_train_loss: 343.48421359062195, total_val_loss: 80.75684690475464
[2024-02-22 00:58:06] Epoch 1, total_train_loss: 315.1533079147339, total_val_loss: 80.17710471153259
[2024-02-22 01:01:50] Epoch 2, total_train_loss: 314.22810876369476, total_val_loss: 80.02437853813171
[2024-02-22 01:05:34] Epoch 3, total_train_loss: 313.70753359794617, total_val_loss: 79.95012259483337
[2024-02-22 01:09:08] Epoch 4, total_train_loss: 313.2890821695328, total_val_loss: 79.91404378414154
[2024-02-22 01:12:32] Epoch 5, total_train_loss: 313.16575050354004, total_val_loss: 79.91723334789276
[2024-02-22 01:16:12] Epoch 6, total_train_loss: 313.25097846984863, total_val_loss: 79.92692935466766
[2024-02-22 01:19:37] Epoch 7, total_train_loss: 313.26201367378235, total_val_loss: 79.90615594387054
[2024-02-22 01:23:23] Epoch 8, total_train_loss: 313.2789134979248, total_val_loss: 79.87381541728973
[2024-02-22 01:27:08] Epoch 9, total_train_loss: 313.1506199836731, total_val_loss: 79.89044761657715
[2024-02-22 01:30:53] Epoch 10, total_train_loss: 313.1590932607651, total_val_loss: 79.86680126190186
[2024-02-22 01:34:29] Epoch 11, total_train_loss: 313.10043346881866, total_val_loss: 79.86075782775879
[2024-02-22 01:38:10] Epoch 12, total_train_loss: 313.0965054035187, total_val_loss: 79.88358736038208
[2024-02-22 01:41:42] Epoch 13, total_train_loss: 313.1220667362213, total_val_loss: 79.87482786178589
[2024-02-22 01:45:06] Epoch 14, total_train_loss: 313.06164026260376, total_val_loss: 79.88736712932587
[2024-02-22 01:48:48] Epoch 15, total_train_loss: 313.20174837112427, total_val_loss: 79.85397505760193
[2024-02-22 01:52:25] Epoch 16, total_train_loss: 313.1505482196808, total_val_loss: 79.86424648761749
[2024-02-22 01:55:56] Epoch 17, total_train_loss: 313.0993118286133, total_val_loss: 79.85197114944458
[2024-02-22 01:59:25] Epoch 18, total_train_loss: 312.9965171813965, total_val_loss: 79.861363530159
[2024-02-22 02:02:48] Epoch 19, total_train_loss: 313.00064635276794, total_val_loss: 79.86019790172577
[2024-02-22 02:06:34] Epoch 20, total_train_loss: 313.14262449741364, total_val_loss: 79.8571492433548
[2024-02-22 02:09:55] Epoch 21, total_train_loss: 313.1149011850357, total_val_loss: 79.86087715625763
[2024-02-22 02:13:02] Epoch 22, total_train_loss: 313.1178184747696, total_val_loss: 79.84290289878845
[2024-02-22 02:16:09] Epoch 23, total_train_loss: 312.9847685098648, total_val_loss: 79.92442905902863
[2024-02-22 02:19:15] Epoch 24, total_train_loss: 313.10484421253204, total_val_loss: 79.85212290287018
[2024-02-22 02:22:21] Epoch 25, total_train_loss: 313.1560741662979, total_val_loss: 79.9097136259079
[2024-02-22 02:25:27] Epoch 26, total_train_loss: 313.0162729024887, total_val_loss: 79.85026443004608
[2024-02-22 02:28:47] Epoch 27, total_train_loss: 313.0379135608673, total_val_loss: 79.85061943531036
[2024-02-22 02:31:55] Epoch 28, total_train_loss: 313.07851254940033, total_val_loss: 79.85916721820831
[2024-02-22 02:35:02] Epoch 29, total_train_loss: 313.14631056785583, total_val_loss: 79.8652411699295
[2024-02-22 02:38:22] Epoch 30, total_train_loss: 313.1334195137024, total_val_loss: 79.85580730438232
[2024-02-22 02:41:33] Epoch 31, total_train_loss: 313.03825187683105, total_val_loss: 79.86723124980927
[2024-02-22 02:44:40] Epoch 32, total_train_loss: 313.01011538505554, total_val_loss: 79.84355020523071
[2024-02-22 02:48:01] Epoch 33, total_train_loss: 313.05624437332153, total_val_loss: 79.87007343769073
[2024-02-22 02:51:21] Epoch 34, total_train_loss: 312.842999458313, total_val_loss: 79.85997104644775
[2024-02-22 02:54:42] Epoch 35, total_train_loss: 312.91027796268463, total_val_loss: 79.8748768568039
[2024-02-22 02:58:02] Epoch 36, total_train_loss: 312.9471210241318, total_val_loss: 79.84636998176575
[2024-02-22 03:01:12] Epoch 37, total_train_loss: 313.00113344192505, total_val_loss: 79.87577223777771
[2024-02-22 03:04:22] Epoch 38, total_train_loss: 313.0734028816223, total_val_loss: 79.85155999660492
[2024-02-22 03:07:44] Epoch 39, total_train_loss: 313.04315757751465, total_val_loss: 79.88031136989594
[2024-02-22 03:10:54] Epoch 40, total_train_loss: 313.0275009870529, total_val_loss: 79.84418153762817
[2024-02-22 03:14:01] Epoch 41, total_train_loss: 312.85360646247864, total_val_loss: 79.84345138072968
[2024-02-22 03:17:21] Epoch 42, total_train_loss: 312.89706242084503, total_val_loss: 79.84015917778015
[2024-02-22 03:20:43] Epoch 43, total_train_loss: 312.88396739959717, total_val_loss: 79.86197745800018
[2024-02-22 03:24:07] Epoch 44, total_train_loss: 313.01561760902405, total_val_loss: 79.83983111381531
[2024-02-22 03:27:29] Epoch 45, total_train_loss: 313.0405558347702, total_val_loss: 79.90105891227722
[2024-02-22 03:30:39] Epoch 46, total_train_loss: 313.0141689777374, total_val_loss: 79.83554553985596
[2024-02-22 03:33:53] Epoch 47, total_train_loss: 312.96410524845123, total_val_loss: 79.8790715932846
[2024-02-22 03:37:15] Epoch 48, total_train_loss: 313.02148950099945, total_val_loss: 79.83360552787781
[2024-02-22 03:40:26] Epoch 49, total_train_loss: 312.9620980024338, total_val_loss: 79.85219955444336
[2024-02-22 03:43:32] Epoch 50, total_train_loss: 312.998407125473, total_val_loss: 79.83884847164154
[2024-02-22 03:46:53] Epoch 51, total_train_loss: 312.99996185302734, total_val_loss: 79.83884239196777
[2024-02-22 03:50:17] Epoch 52, total_train_loss: 312.9719821214676, total_val_loss: 79.85025095939636
[2024-02-22 03:53:41] Epoch 53, total_train_loss: 312.89619302749634, total_val_loss: 79.85175800323486
[2024-02-22 03:57:04] Epoch 54, total_train_loss: 313.11492919921875, total_val_loss: 79.87434709072113
[2024-02-22 04:00:29] Epoch 55, total_train_loss: 313.02200865745544, total_val_loss: 79.85078859329224
[2024-02-22 04:03:53] Epoch 56, total_train_loss: 312.8659371137619, total_val_loss: 79.85493278503418
[2024-02-22 04:07:16] Epoch 57, total_train_loss: 312.9192374944687, total_val_loss: 79.82960021495819
[2024-02-22 04:10:38] Epoch 58, total_train_loss: 312.96397483348846, total_val_loss: 79.82437539100647
[2024-02-22 04:14:02] Epoch 59, total_train_loss: 312.93647158145905, total_val_loss: 79.83930909633636
[2024-02-22 04:17:25] Epoch 60, total_train_loss: 312.9405825138092, total_val_loss: 79.84802770614624
[2024-02-22 04:20:47] Epoch 61, total_train_loss: 312.9585425853729, total_val_loss: 79.84304594993591
[2024-02-22 04:24:11] Epoch 62, total_train_loss: 312.93028342723846, total_val_loss: 79.84042394161224
[2024-02-22 04:27:34] Epoch 63, total_train_loss: 312.97353422641754, total_val_loss: 79.84264254570007
[2024-02-22 04:30:59] Epoch 64, total_train_loss: 312.9674791097641, total_val_loss: 79.84552037715912
[2024-02-22 04:34:23] Epoch 65, total_train_loss: 312.9508743286133, total_val_loss: 79.83622062206268
[2024-02-22 04:37:43] Epoch 66, total_train_loss: 312.8516536951065, total_val_loss: 79.84275877475739
[2024-02-22 04:40:52] Epoch 67, total_train_loss: 312.95385324954987, total_val_loss: 79.86143207550049
[2024-02-22 04:44:01] Epoch 68, total_train_loss: 313.00802755355835, total_val_loss: 79.87193644046783
[2024-02-22 04:47:24] Epoch 69, total_train_loss: 312.8892192840576, total_val_loss: 79.8364827632904
[2024-02-22 04:50:48] Epoch 70, total_train_loss: 312.9653673171997, total_val_loss: 79.84608578681946
[2024-02-22 04:54:12] Epoch 71, total_train_loss: 312.86597526073456, total_val_loss: 79.86476612091064
[2024-02-22 04:57:34] Epoch 72, total_train_loss: 312.9169512987137, total_val_loss: 79.84383010864258
[2024-02-22 05:00:58] Epoch 73, total_train_loss: 312.9589035511017, total_val_loss: 79.85003209114075
[2024-02-22 05:04:21] Epoch 74, total_train_loss: 312.9183933734894, total_val_loss: 79.85805153846741
[2024-02-22 05:07:45] Epoch 75, total_train_loss: 312.94185423851013, total_val_loss: 79.83439218997955
[2024-02-22 05:11:07] Epoch 76, total_train_loss: 312.97542226314545, total_val_loss: 79.87133085727692
