[2023-11-27 17:30:43] Loaded checkpoint with best_loss_d value of 0.0
[2023-11-27 17:35:30] Epoch 0/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5121
[2023-11-27 17:36:15] Epoch 1/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.6123
[2023-11-27 17:37:00] Epoch 2/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5935
[2023-11-27 17:37:45] Epoch 3/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5813
[2023-11-27 17:38:30] Epoch 4/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.6421
[2023-11-27 17:39:15] Epoch 5/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.6715
[2023-11-27 17:40:01] Epoch 6/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5172
[2023-11-27 17:40:46] Epoch 7/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5660
[2023-11-27 17:41:31] Epoch 8/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5368
[2023-11-27 17:42:17] Epoch 9/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.6442
[2023-11-27 17:43:02] Epoch 10/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5465
[2023-11-27 17:43:47] Epoch 11/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5636
[2023-11-27 17:44:32] Epoch 12/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5518
[2023-11-27 17:45:17] Epoch 13/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5301
[2023-11-27 17:46:02] Epoch 14/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5242
[2023-11-27 17:46:48] Epoch 15/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5208
[2023-11-27 17:47:31] Epoch 16/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4951
[2023-11-27 17:48:15] Epoch 17/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5682
[2023-11-27 17:48:59] Epoch 18/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5064
[2023-11-27 17:49:43] Epoch 19/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5576
[2023-11-27 17:50:27] Epoch 20/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5937
[2023-11-27 17:51:11] Epoch 21/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5830
[2023-11-27 17:51:55] Epoch 22/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5615
[2023-11-27 17:52:39] Epoch 23/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5589
[2023-11-27 17:53:22] Epoch 24/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5138
[2023-11-27 17:54:09] Saved latest checkpoint to low_learn_small_batch_latest.pth.tar
[2023-11-27 17:54:09] Saved Epoch 25/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5760
[2023-11-27 17:54:53] Epoch 26/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4534
[2023-11-27 17:55:36] Epoch 27/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5680
[2023-11-27 17:56:20] Epoch 28/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4864
[2023-11-27 17:57:04] Epoch 29/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5043
[2023-11-27 17:57:48] Epoch 30/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4622
[2023-11-27 17:58:32] Epoch 31/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5222
[2023-11-27 17:59:16] Epoch 32/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5322
[2023-11-27 17:59:59] Epoch 33/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5241
[2023-11-27 18:00:43] Epoch 34/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4751
[2023-11-27 18:01:27] Epoch 35/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4839
[2023-11-27 18:02:11] Epoch 36/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5047
[2023-11-27 18:02:55] Epoch 37/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.5477
[2023-11-27 18:03:39] Epoch 38/300 | Discriminator Loss: 0.0000 | Generator Loss: 51.4749
