[2023-11-28 00:00:06] Epoch 186/500 | Discriminator Loss: 0.000021 | Generator Loss: 13.733444
[2023-11-28 00:00:53] Epoch 187/500 | Discriminator Loss: 0.010108 | Generator Loss: 9.066210
[2023-11-28 00:01:40] Epoch 188/500 | Discriminator Loss: 0.001169 | Generator Loss: 9.772694
[2023-11-28 00:02:26] Epoch 189/500 | Discriminator Loss: 0.000290 | Generator Loss: 11.402323
[2023-11-28 00:03:13] Epoch 190/500 | Discriminator Loss: 2.652072 | Generator Loss: 17.403481
[2023-11-28 00:04:00] Epoch 191/500 | Discriminator Loss: 0.654963 | Generator Loss: 1.297585
[2023-11-28 00:04:48] Epoch 192/500 | Discriminator Loss: 0.974720 | Generator Loss: 16.539951
[2023-11-28 00:05:35] Epoch 193/500 | Discriminator Loss: 0.000077 | Generator Loss: 10.106936
[2023-11-28 00:06:23] Epoch 194/500 | Discriminator Loss: 0.020268 | Generator Loss: 6.596357
[2023-11-28 00:07:09] Epoch 195/500 | Discriminator Loss: 4.408096 | Generator Loss: 6.955176
[2023-11-28 00:07:57] Epoch 196/500 | Discriminator Loss: 0.001143 | Generator Loss: 7.475802
[2023-11-28 00:08:44] Epoch 197/500 | Discriminator Loss: 0.023851 | Generator Loss: 5.975214
[2023-11-28 00:09:31] Epoch 198/500 | Discriminator Loss: 0.016960 | Generator Loss: 6.251160
[2023-11-28 00:10:19] Epoch 199/500 | Discriminator Loss: 0.006230 | Generator Loss: 6.129651
[2023-11-28 00:11:06] Epoch 200/500 | Discriminator Loss: 0.000343 | Generator Loss: 19.840431
[2023-11-28 00:11:54] Epoch 201/500 | Discriminator Loss: 1.901001 | Generator Loss: 0.996580
[2023-11-28 00:12:41] Epoch 202/500 | Discriminator Loss: 0.002304 | Generator Loss: 8.953894
[2023-11-28 00:13:29] Epoch 203/500 | Discriminator Loss: 0.004179 | Generator Loss: 8.214447
[2023-11-28 00:14:16] Epoch 204/500 | Discriminator Loss: 0.073795 | Generator Loss: 6.215468
[2023-11-28 00:15:03] Epoch 205/500 | Discriminator Loss: 0.000522 | Generator Loss: 7.787464
[2023-11-28 00:15:51] Epoch 206/500 | Discriminator Loss: 0.000399 | Generator Loss: 10.295938
[2023-11-28 00:16:38] Epoch 207/500 | Discriminator Loss: 0.000527 | Generator Loss: 9.500426
[2023-11-28 00:17:25] Epoch 208/500 | Discriminator Loss: 3.444724 | Generator Loss: 2.373742
[2023-11-28 00:18:13] Epoch 209/500 | Discriminator Loss: 0.001766 | Generator Loss: 9.694487
[2023-11-28 00:18:59] Epoch 210/500 | Discriminator Loss: 0.149949 | Generator Loss: 3.527851
[2023-11-28 00:19:47] Epoch 211/500 | Discriminator Loss: 0.005313 | Generator Loss: 6.277085
[2023-11-28 00:20:34] Epoch 212/500 | Discriminator Loss: 0.642185 | Generator Loss: 12.170812
[2023-11-28 00:21:22] Epoch 213/500 | Discriminator Loss: 0.007896 | Generator Loss: 10.697077
[2023-11-28 00:22:09] Epoch 214/500 | Discriminator Loss: 0.221465 | Generator Loss: 6.745259
[2023-11-28 00:22:56] Epoch 215/500 | Discriminator Loss: 0.014119 | Generator Loss: 6.272080
[2023-11-28 00:23:44] Epoch 216/500 | Discriminator Loss: 0.017137 | Generator Loss: 5.187792
[2023-11-28 00:24:31] Epoch 217/500 | Discriminator Loss: 0.145903 | Generator Loss: 4.658665
[2023-11-28 00:25:19] Epoch 218/500 | Discriminator Loss: 0.011735 | Generator Loss: 8.485935
[2023-11-28 00:26:07] Epoch 219/500 | Discriminator Loss: 0.015206 | Generator Loss: 5.191850
[2023-11-28 00:26:54] Epoch 220/500 | Discriminator Loss: 1.145090 | Generator Loss: 0.007128
[2023-11-28 00:27:41] Epoch 221/500 | Discriminator Loss: 0.014136 | Generator Loss: 5.636838
[2023-11-28 00:28:29] Epoch 222/500 | Discriminator Loss: 0.000721 | Generator Loss: 9.093350
[2023-11-28 00:29:17] Epoch 223/500 | Discriminator Loss: 2.640851 | Generator Loss: 1.458042
[2023-11-28 00:30:04] Epoch 224/500 | Discriminator Loss: 0.334316 | Generator Loss: 3.624352
[2023-11-28 00:30:52] Epoch 225/500 | Discriminator Loss: 0.012035 | Generator Loss: 9.450077
[2023-11-28 00:31:40] Epoch 226/500 | Discriminator Loss: 0.018341 | Generator Loss: 8.223198
[2023-11-28 00:32:27] Epoch 227/500 | Discriminator Loss: 0.005413 | Generator Loss: 11.050390
[2023-11-28 00:33:15] Epoch 228/500 | Discriminator Loss: 0.307280 | Generator Loss: 6.047766
[2023-11-28 00:34:02] Epoch 229/500 | Discriminator Loss: 0.000577 | Generator Loss: 7.884108
[2023-11-28 00:34:50] Epoch 230/500 | Discriminator Loss: 0.095986 | Generator Loss: 5.399923
[2023-11-28 00:35:37] Epoch 231/500 | Discriminator Loss: 0.050018 | Generator Loss: 7.579046
[2023-11-28 00:36:24] Epoch 232/500 | Discriminator Loss: 0.000107 | Generator Loss: 10.550440
[2023-11-28 00:37:11] Epoch 233/500 | Discriminator Loss: 0.040197 | Generator Loss: 11.831045
[2023-11-28 00:37:59] Epoch 234/500 | Discriminator Loss: 0.262176 | Generator Loss: 9.216242
[2023-11-28 00:38:47] Epoch 235/500 | Discriminator Loss: 0.475801 | Generator Loss: 18.721460
[2023-11-28 00:39:34] Epoch 236/500 | Discriminator Loss: 0.000388 | Generator Loss: 8.741075
[2023-11-28 00:40:22] Epoch 237/500 | Discriminator Loss: 0.954723 | Generator Loss: 7.620054
[2023-11-28 00:41:10] Epoch 238/500 | Discriminator Loss: 0.008050 | Generator Loss: 8.500967
[2023-11-28 00:41:56] Epoch 239/500 | Discriminator Loss: 0.004826 | Generator Loss: 6.312928
[2023-11-28 00:42:44] Epoch 240/500 | Discriminator Loss: 0.090472 | Generator Loss: 8.376554
[2023-11-28 00:43:32] Epoch 241/500 | Discriminator Loss: 3.106052 | Generator Loss: 19.228464
[2023-11-28 00:44:19] Epoch 242/500 | Discriminator Loss: 0.001411 | Generator Loss: 6.411063
[2023-11-28 00:45:06] Epoch 243/500 | Discriminator Loss: 0.455863 | Generator Loss: 14.312065
[2023-11-28 00:45:54] Epoch 244/500 | Discriminator Loss: 0.004726 | Generator Loss: 11.233440
