[2023-12-14 00:05:58] Epoch 41/100 | Discriminator Loss: 0.316808 | Generator Loss: 5.104869
[2023-12-14 00:05:58] Epoch 41/100 | Discriminator Loss: 0.441916 | Generator Loss: 4.852607
[2023-12-14 02:58:16] Epoch 42/100 | Discriminator Loss: 0.002636 | Generator Loss: 10.904016
[2023-12-14 02:58:17] Epoch 42/100 | Discriminator Loss: 0.002011 | Generator Loss: 11.116701
[2023-12-14 05:50:14] Epoch 43/100 | Discriminator Loss: 0.013515 | Generator Loss: 4.404975
[2023-12-14 05:50:14] Epoch 43/100 | Discriminator Loss: 0.030115 | Generator Loss: 3.691146
[2023-12-14 08:42:26] Epoch 44/100 | Discriminator Loss: 0.013393 | Generator Loss: 3.809088
[2023-12-14 08:42:26] Epoch 44/100 | Discriminator Loss: 0.023124 | Generator Loss: 3.413182
[2023-12-14 11:34:08] Epoch 45/100 | Discriminator Loss: 0.007846 | Generator Loss: 6.024888
[2023-12-14 11:34:08] Epoch 45/100 | Discriminator Loss: 0.009735 | Generator Loss: 6.946622
[2023-12-14 14:25:57] Epoch 46/100 | Discriminator Loss: 0.033506 | Generator Loss: 5.504031
[2023-12-14 14:25:57] Epoch 46/100 | Discriminator Loss: 0.017868 | Generator Loss: 7.719547
[2023-12-14 17:17:34] Epoch 47/100 | Discriminator Loss: 0.007189 | Generator Loss: 5.473974
[2023-12-14 17:17:34] Epoch 47/100 | Discriminator Loss: 0.025655 | Generator Loss: 7.768480
[2023-12-14 20:09:28] Epoch 48/100 | Discriminator Loss: 0.054567 | Generator Loss: 5.758875
[2023-12-14 20:09:29] Epoch 48/100 | Discriminator Loss: 0.067675 | Generator Loss: 5.268000
[2023-12-14 23:01:32] Epoch 49/100 | Discriminator Loss: 0.018054 | Generator Loss: 6.162091
[2023-12-14 23:01:32] Epoch 49/100 | Discriminator Loss: 0.187258 | Generator Loss: 5.511469
